birth_year,age,share_men_married_pct
1900,17,0
1900,18,0
1900,19,1
1900,20,2
1900,21,6
1900,22,14
1900,23,21
1900,24,30
1900,25,40
1900,26,48
1900,27,56
1900,28,63
1900,29,68
1900,30,73
1900,31,77
1900,32,79
1900,33,82
1900,34,83
1900,35,85
1900,36,86
1900,37,87.1
1900,38,88.1
1900,39,88.8
1900,40,89.6
1900,41,90.2
1900,42,90.7
1900,43,91.1
1900,44,91.5
1900,45,91.8
1900,46,92.1
1900,47,92.3
1900,48,92.5
1900,49,92.7
1900,50,92.9
1910,17,0
1910,18,0
1910,19,0
1910,20,2
1910,21,4
1910,22,9
1910,23,15
1910,24,23
1910,25,32
1910,26,41
1910,27,50
1910,28,58
1910,29,64
1910,30,70
1910,31,75
1910,32,78
1910,33,80
1910,34,82
1910,35,83
1910,36,84
1910,37,85.7
1910,38,86.8
1910,39,87.7
1910,40,88.3
1910,41,88.9
1910,42,89.4
1910,43,89.8
1910,44,90.1
1910,45,90.4
1910,46,90.6
1910,47,90.8
1910,48,91
1910,49,91.2
1910,50,91.3
1920,17,0
1920,18,0
1920,19,1
1920,20,2
1920,21,7
1920,22,17
1920,23,27
1920,24,34
1920,25,42
1920,26,51
1920,27,59
1920,28,66
1920,29,72
1920,30,76
1920,31,80
1920,32,82
1920,33,84
1920,34,86
1920,35,87
1920,36,88
1920,37,88.4
1920,38,89
1920,39,89.5
1920,40,89.9
1920,41,90.3
1920,42,90.6
1920,43,90.8
1920,44,91.1
1920,45,91.3
1920,46,91.4
1920,47,91.6
1920,48,91.7
1920,49,91.8
1920,50,91.9
1930,17,0
1930,18,0
1930,19,1
1930,20,3
1930,21,7
1930,22,17
1930,23,28
1930,24,40
1930,25,51
1930,26,61
1930,27,68
1930,28,73
1930,29,77
1930,30,81
1930,31,83
1930,32,85
1930,33,86
1930,34,87
1930,35,88
1930,36,89
1930,37,89.1
1930,38,89.5
1930,39,89.9
1930,40,90.3
1930,41,90.5
1930,42,90.8
1930,43,91
1930,44,91.3
1930,45,91.4
1930,46,91.6
1930,47,91.7
1930,48,91.8
1930,49,91.9
1930,50,92
1940,17,0
1940,18,0
1940,19,2
1940,20,6
1940,21,14
1940,22,26
1940,23,38
1940,24,50
1940,25,60
1940,26,68
1940,27,74
1940,28,78
1940,29,81
1940,30,83
1940,31,85
1940,32,87
1940,33,88
1940,34,89
1940,35,89
1940,36,90
1940,37,90.1
1940,38,90.5
1940,39,90.8
1940,40,91.1
1940,41,91.4
1940,42,91.6
1940,43,91.7
1940,44,91.8
1940,45,92
1940,46,92.1
1940,47,92.2
1940,48,92.3
1940,49,92.3
1940,50,92.4
1950,17,0
1950,18,1
1950,19,4
1950,20,9
1950,21,18
1950,22,30
1950,23,42
1950,24,52
1950,25,60
1950,26,66
1950,27,70
1950,28,74
1950,29,77
1950,30,79
1950,31,81
1950,32,82
1950,33,83
1950,34,84
1950,35,85
1950,36,86
1950,37,86.5
1950,38,87
1950,39,87.4
1950,40,87.8
1950,41,88.1
1950,42,88.3
1950,43,88.6
1950,44,88.8
1950,45,88.9
1950,46,89.1
1950,47,89.2
1950,48,89.3
1950,49,89.4
1950,50,89.5
1960,17,0
1960,18,1
1960,19,3
1960,20,6
1960,21,12
1960,22,19
1960,23,26
1960,24,34
1960,25,41
1960,26,47
1960,27,52
1960,28,57
1960,29,61
1960,30,64
1960,31,67
1960,32,69
1960,33,71
1960,34,72
1960,35,74
1960,36,75
1960,37,75.8
1960,38,76.6
1960,39,77.4
1960,40,78
1960,41,78.6
1960,42,79.1
1960,43,79.5
1960,44,79.9
1960,45,80.3
1960,46,80.6
1960,47,80.9
1960,48,81.1
1960,49,81.3
1960,50,81.5
1970,17,0
1970,18,0
1970,19,1
1970,20,2
1970,21,4
1970,22,7
1970,23,11
1970,24,15
1970,25,19
1970,26,24
1970,27,29
1970,28,33
1970,29,37
1970,30,41
1970,31,45
1970,32,48
1970,33,51
1970,34,54
1970,35,56
1970,36,58
1970,37,59.6
1970,38,61
1970,39,62.2
1970,40,63.3
1970,41,64.3
1970,42,65.1
1980,17,0
1980,18,0
1980,19,0
1980,20,1
1980,21,1
1980,22,3
1980,23,4
1980,24,6
1980,25,9
1980,26,11
1980,27,15
1980,28,18
1980,29,22
1980,30,25
1980,31,29
1980,32,33
1990,17,0
1990,18,0
1990,19,0
1990,20,0
1990,21,1
1990,22,1
